A. A. Milne
Aaron Akinyemi
AD Miller
Adam Foulds
Adrian Mitchell
Agatha Christie
AL Kennedy
Alan Garner
Alan Hollinghurst
Alan Moore
Alan Sillitoe
Alan Warner
Alasdair Gray
Albert Camus
Aldous Huxley
Aleksandar Hemon
Aleksandr Solzhenitsyn
Alex Ross
Alexander McCall Smith
Alexander Pushkin
Alexandra Harris
Alexandre Dumas
Alexandre Dumas, pere
Alfred Tennyson
Ali Smith
Alice Munro
Alice Walker
Alistair Cooke
Alistair MacLean
Allen Ginsberg
Amish Tripathi
Amitav Ghosh
Anaïs Nin
Andrea Levy
Andrei Makine
Andrew Motion
Andrew Solomon
Angela Carter
Anita Brookner
Annabel Pitcher
Anne Brontë
Anne Enright
Anne Frank
Anne Rice
Annie Proulx
Anthony Browne
Anthony Burgess
Anthony Horowitz
Anthony Trollope
Antoine De Saint-Exupéry
Anton Chekhov
Antony Beevor
Armistead Maupin
Art Spiegelman
Arthur C Clarke
Arthur C. Clarke
Arthur Conan Doyle
Arthur Koestler
Arthur Miller
Arthur Ransome
Arundhati Roy
AS Byatt
Åsne Seierstad
Astrid Lindgren
Attica Locke
Audrey Niffenegger
Ayn Rand
Barbara Cartland
Barbara Kingsolver
Barbara Taylor Bradford
Barry Unsworth
Basharat Peer
Beatrix Potter
Belinda Bauer
Ben Jonson
Ben Okri
Benjamin Markovits
Beryl Bainbridge
Beverly Cleary
Bill Bryson
Blake Morrison
Boris Pasternak
Bret Easton Ellis
Brian Jacques
Brooke Magnanti 
Brothers Grimm
Bruce Chatwin
C. S. Lewis
Caitlin Moran
Candia McWilliam
Carl Hiaasen
Carlos Fuentes
Carmen Callil
Carol Ann Duffy
Carol Birch
Carol Shields
Cassandra Clare
Catherine Cookson
Charles Dickens
Charlie Higson
Charlotte Brontë
Chetan bhagat
Chimamanda Ngozi Adichie
China Miéville
Chinua Achebe
Chloe Hooper
Chris Ware
Christopher Hitchens
Christopher Isherwood
Christopher Marlowe
Christopher Paolini
Christos Tsiolkas
Chuck Palahniuk
CJ Sansom
Claire Messud
Claire Tomalin
Clive Barker
Clive Cussler
Colm Tóibín
Colum McCann
Constance Briscoe
Cormac McCarthy
CS Lewis
Curtis Sittenfeld
Czeslaw Milosz
D.H. Lawrence
Dale Carnegie
Daljit Nagra
Damon Galgut
Dan Brown
Daniel Clowes
Daniel Defoe
Daniel Handler
Danielle Steel
Dante Alighieri
Daphne du Maurier
Darian Leader
Dashiell Hammett
Dav Pilkey
Dave Eggers
Dave Pelzer
David Baldacci
David Eagleman
David Eddings
David Foster Wallace
David Grossman
David Harsent
David Lodge
David Mitchell
David Nicholls
David Peace
David Remnick
David Sedaris
David Uberti
DBC Pierre
Dean Koontz
Debbie Macomber
Deborah Levy
Denis Diderot
Derek Walcott
DH Lawrence
Diana Athill
Diana Wynne Jones
Dick Francis
Dick King-Smith
Don DeLillo
Don Paterson
Donald Barthelme
Doris Lessing
Dorothy L Sayers
Douglas Adams
Douglas Coupland
Dr Seuss
Dr. Seuss
Dylan Thomas
E.M. Forster
Edgar Allan Poe
Edgar Rice Burroughs
Edith Sitwell
Edith Wharton
Edmund de Waal
Edmund White
Edna O'Brien
Edward St Aubyn
Edwin Morgan
EL James
Elbert Hubbard
Eleanor Catton
Elie Wiesel
Elizabeth Hardwick
Elizabeth Jane Howard
Ellen G. White
Ellen Hopkins
Elmore Leonard
EM Forster
Emile Zola
Émile Zola
Emily Brontë
Emily Dickinson
Emma Donoghue
Enid Blyton
Eoin Colfer
Eric Carle
Eric Hobsbawm
Erica Jong
Ernest Hemingway
Esi Edugyan
Eugene O'Neill
Euripides
Eva Ibbotson
Evelyn Waugh
Evie Wyld
F Scott Fitzgerald
F. Scott Fitzgerald
Fay Weldon
Fernando Pessoa
Flann O'Brien
Flannery O’Connor
Francesca Simon
Francis Fukuyama
Francois Marie Arouet de Voltaire
Frank Kermode
Frank McCourt
Frank Miller
Franz Kafka
Frederick Douglass
Fyodor Dostoevsky
G Willow Wilson
Gabriel García Márquez
Gary Paulsen
Geoffrey Chaucer
George Bernard Shaw
George Eliot
George MacDonald Fraser
George Orwell
George R. R. Martin
George RR Martin
George Saunders
Georges Simenon
Georgette Heyer
Germaine Greer
Gertrude Stein
Giacomo Leopardi
Gillian Flynn
Giovanni Boccaccio
Giuseppe Tomasi di Lampedusa
GK Chesterton
Glen David Gold
Glenn Beck
Gloria Steinem
Gordon Burn
Gore Vidal
Graham Greene
Graham Swift
Greil Marcus
Günter Grass
Gustave Flaubert
Gwendoline Riley
H. G. Wells
Hanif Kureishi
Hans Christian Andersen
Harlan Coben
Harlan Ellison
Harold Pinter
Harper Lee
Haruki Murakami
Harvey Pekar
Heinrich Böll
Helen Dunmore
Helen Fielding
Helen Simpson
Henning Mankell
Henrik Ibsen
Henry David Thoreau
Henry Fielding
Henry James
Henry Miller
Herman Melville
Hermann Hesse
Herta Müller
HG Wells
Hilary Mantel
Hisham Matar
Holly Black
Homer
Honoré De Balzac
Horatio Alger
Howard Jacobson
Hugh Trevor-Roper
Hugo Williams
Hunter S Thompson
Hunter S. Thompson
Iain Banks
Iain M. Banks
Iain Sinclair
Ian Fleming
Ian McEwan
Ian Rankin
Iris Murdoch
Irvine Welsh
Isaac Asimov
Isabel Allende
Ismail Kadare
Italo Calvino
Italo Svevo
J. G. Ballard
J. K. Rowling
J. M. Barrie
J. R. R. Tolkien
J.D. Salinger
Jack Canfield
Jack Kerouac
Jack London
Jackie Collins
Jackie Kay
Jackie Morris
Jacqueline Wilson
James Baldwin
James Ellroy
James Fenimore Cooper
James Frey
James Herbert
James Joyce
James Kelman
James Michener
James Patterson
Jan Morris
Jane Austen
Jane Smiley
Jared Diamond
Jasper Fforde
Jay McInerney
JD Salinger
Jean Cocteau
Jean M. Auel
Jeanette Winterson
Jean-Paul Sartre
Jeff Kinney
Jeffery Deaver
Jeffrey Archer
Jeffrey Brown
Jeffrey Eugenides
Jesmyn Ward
JG Ballard
Jhumpa Lahiri
Jilly Cooper
Jim Butcher
Jim Crace
JK Rowling
JM Coetzee
Jo Nesbø
Joan Didion
Joanna Kavenna
Joanne Harris
Joe Sacco
Johann Wolfgang Von Goethe
John Banville
John Betjeman
John Boyne
John Bunyan
John Cheever
John Clare
John Cooper Clarke
John Fante
John Flanagan
John Fowles
John Gray
John Green
John Grisham
John Irving
John Keats
John le Carré
John Locke
John Milton
John Steinbeck
John Updike
John Wyndham
Jonathan Coe
Jonathan Franzen
Jonathan Lethem
Jonathan Raban
Jonathan Safran Foer
Jonathan Swift
Jorge Luis Borges
José Saramago
Joseph Connolly
Joseph Conrad
Joseph Heller
Joseph Wambaugh
Josephine Hart
Jostein Gaarder
Joyce Carol Oates
JRR Tolkien
Juan Gabriel Vásquez
Juan Rulfo
Jude Deveraux
Judy Blume
Jules Verne
Julian Baggini
Julian Barnes
Julie Garwood
Julie Myerson
Junot Diaz
Justin Torres
Karen Blixen
Karl May
Kate Atkinson
Kate Chopin
Kate Mosse
Katherine Boo
Katherine Rundell
Kathryn Schulz
Kathryn Stockett
Kazuo Ishiguro
Kelley Armstrong
Ken Follett
Khaled Hosseini
Khalil Gibran
Kingsley Amis
Kiran Desai
Knut Hamsun
Kurt Vonnegut
L. Frank Baum
Laura Ingalls Wilder
Lauren Child
Laurence Sterne
Lawrence Durrell
Lee Child
Lemn Sissay
Len Deighton
Leo Tolstoy
Lewis Carroll
Lionel Shriver
Lisa Moore
Liz Pichon
Lord Byron
Lori Foster
Lorrie Moore
Louis de Bernières
Louisa May Alcott
Louise Hay
Louise O'Neill
Madeline Miller
Maeve Binchy
Maggie Gee
Maile Chapman
Mal Peet
Malcolm Gladwell
Malorie Blackman
Marcel Pagnol
Marcel Proust
Marcus Sedgwick
Margaret Atwood
Margaret Drabble
Margaret Mitchell
Margaret Peterson Haddix
Marguerite Yourcenar
Marian Keyes
Marilynne Robinson
Mario Puzo
Mario Vargas Llosa
Mark Haddon
Mark Kurlansky
Mark Twain
Martin Amis
Martin Gilbert
Mary Balogh
Mary Beard
Mary Higgins Clark
Mary Pope Osborne
Mary Shelley
Mary Wollstonecraft
Maurice Sendak
Maya Angelou
Meg Cabot
Meg Rosoff
Melvin Burgess
Michael Chabon
Michael Connelly
Michael Crichton
Michael Grant
Michael Longley
Michael Morpurgo
Michael Ondaatje
Michael Rosen
Michael Sandel
Michel de Montaigne
Michel Houellebecq
Michelle Paver
Mick Imlah
Miguel de Cervantes
Miguel de Unamuno
Mikhail Bulgakov
Milan Kundera
Mitch Albom
Mohammed Hanif
Mohsin Hamid
Monica Ali
Muriel Spark
Nadifa Mohamed
Nadine Gordimer
Nancy Mitford
Naomi Klein
Naomi Wolf
Napoleon Hill
Nassim Nicholas Taleb
Natasha Walter
Nathaniel Hawthorne
Ned Beauman
Ned Vizzini
Neil Cross
Neil Gaiman
Nell Freudenberger
Ngugi wa Thiong'o
Niall Ferguson
Nicci French
Niccolò Machiavelli
Nicholas Sparks
Nick Hornby
Nick Tosches
Nicola Barker
Nicole Krauss
Nikolai Gogol
Nina Bawden
Nora Roberts
Norman Mailer
Oliver Goldsmith
Orhan Pamuk
Orlando Figes
Orson Scott Card
Oscar Wilde
Ovid
P. D. James
P. G. Wodehouse
Pat Barker
Patricia Cornwell
Patrick DeWitt
Patrick McCabe
Patrick Ness
Paul Auster
Paul Bailey
Paul Celan
Paul Farley
Paul Muldoon
Paul Murray
Paul Valéry
Paulo Coelho
PD James
Pearl buck
Penelope Fitzgerald
Penelope Lively
Percy Bysshe Shelley
Peter Ackroyd
Peter Carey
Peter Hitchens
Peter Porter
Petina Gappah
PG Wodehouse
Philip Ardagh
Philip Hensher
Philip K Dick
Philip K. Dick
Philip Larkin
Philip Pullman
Philip Reeve
Philip Roth
Philippa Gregory
Pierre Dukan
Piers Anthony
Piers Paul Read
Piers Torday
Plato
Posy Simmonds
Primo Levi
